BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
17,253022876,adventure-works\kevin0,Marketing Assistant,1987-05-03,S,M,2007-01-26,0,42,41,1,2014-06-30 00:00:00.000
18,222969461,adventure-works\john5,Marketing Specialist,1978-03-06,S,M,2011-02-07,0,48,44,1,2014-06-30 00:00:00.000
19,52541318,adventure-works\mary2,Marketing Assistant,1978-01-29,S,F,2011-02-14,0,43,41,1,2014-06-30 00:00:00.000
20,323403273,adventure-works\wanida0,Marketing Assistant,1975-03-17,M,F,2011-01-07,0,41,40,1,2014-06-30 00:00:00.000
21,243322160,adventure-works\terry0,Marketing Specialist,1986-02-04,M,M,2009-03-02,0,44,42,1,2014-06-30 00:00:00.000
22,95958330,adventure-works\sariya0,Marketing Specialist,1987-05-21,S,M,2008-12-12,0,45,42,1,2014-06-30 00:00:00.000
23,767955365,adventure-works\mary0,Marketing Specialist,1962-09-13,M,F,2009-01-12,0,46,43,1,2014-06-30 00:00:00.000
24,72636981,adventure-works\jill0,Marketing Specialist,1979-06-18,M,F,2009-01-18,0,47,43,1,2014-06-30 00:00:00.000
25,519899904,adventure-works\james1,Vice President of Production,1983-01-07,S,M,2009-02-03,1,64,52,1,2014-06-30 00:00:00.000
26,277173473,adventure-works\peter0,Production Control Manager,1982-11-03,M,M,2008-12-01,1,43,41,1,2014-12-26 09:17:08.637
27,446466105,adventure-works\jo0,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,0,80,60,1,2014-06-30 00:00:00.000
28,14417807,adventure-works\guy1,Production Technician - WC60,1988-03-13,M,M,2006-06-30,0,21,30,1,2014-06-30 00:00:00.000
29,948320468,adventure-works\mark1,Production Technician - WC60,1979-09-25,S,M,2009-01-23,0,19,29,1,2014-06-30 00:00:00.000
30,410742000,adventure-works\britta0,Production Technician - WC60,1989-09-28,M,F,2009-01-29,0,14,27,1,2014-06-30 00:00:00.000
31,750246141,adventure-works\margie0,Production Technician - WC60,1986-05-20,M,F,2009-01-04,0,18,29,1,2014-06-30 00:00:00.000
32,330211482,adventure-works\rebecca0,Production Technician - WC60,1977-07-10,M,F,2008-12-29,0,23,31,1,2014-06-30 00:00:00.000
33,801758002,adventure-works\annik0,Production Technician - WC60,1976-12-26,M,M,2008-12-17,0,17,28,1,2014-06-30 00:00:00.000
34,754372876,adventure-works\suchitra0,Production Technician - WC60,1987-06-10,M,F,2009-02-16,0,15,27,1,2014-06-30 00:00:00.000
35,999440576,adventure-works\brandon0,Production Technician - WC60,1977-01-10,M,M,2009-02-08,0,22,31,1,2014-06-30 00:00:00.000
36,788456780,adventure-works\jose0,Production Technician - WC60,1984-07-31,M,M,2009-02-10,0,20,30,1,2014-06-30 00:00:00.000
37,442121106,adventure-works\chris2,Production Technician - WC60,1986-08-07,S,M,2009-03-07,0,16,28,1,2014-06-30 00:00:00.000
38,6298838,adventure-works\kim1,Production Technician - WC60,1966-12-14,M,F,2010-01-16,0,24,32,1,2014-06-30 00:00:00.000
39,461786517,adventure-works\ed0,Production Technician - WC60,1971-09-11,S,M,2010-02-05,0,25,32,1,2014-06-30 00:00:00.000
40,309738752,adventure-works\jolynn0,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,0,82,61,1,2014-06-30 00:00:00.000
41,458159238,adventure-works\bryan0,Production Technician - WC60,1973-08-27,S,M,2009-01-21,0,35,37,1,2014-06-30 00:00:00.000
42,339712426,adventure-works\james0,Production Technician - WC60,1984-07-25,M,M,2008-12-27,0,39,39,1,2014-06-30 00:00:00.000
43,693325305,adventure-works\nancy0,Production Technician - WC60,1988-11-19,M,F,2009-01-02,0,34,37,1,2014-06-30 00:00:00.000
44,276751903,adventure-works\simon0,Production Technician - WC60,1990-05-17,S,M,2008-12-08,0,38,39,1,2014-06-30 00:00:00.000
45,500412746,adventure-works\thomas0,Production Technician - WC60,1986-01-10,M,M,2009-02-26,0,37,38,1,2014-06-30 00:00:00.000
46,66073987,adventure-works\eugene1,Production Technician - WC60,1976-02-10,S,M,2009-02-08,0,36,38,1,2014-06-30 00:00:00.000
47,33237992,adventure-works\andrew0,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,0,65,52,1,2014-06-30 00:00:00.000
48,690627818,adventure-works\ruth0,Production Technician - WC10,1956-06-04,M,F,2008-01-06,0,83,61,1,2014-06-30 00:00:00.000
49,912265825,adventure-works\barry0,Production Technician - WC10,1956-03-26,S,M,2008-01-07,0,88,64,1,2014-06-30 00:00:00.000
50,844973625,adventure-works\sidney0,Production Technician - WC10,1956-08-30,M,M,2008-02-02,0,84,62,1,2014-06-30 00:00:00.000
51,132674823,adventure-works\jeffrey0,Production Technician - WC10,1956-07-11,S,M,2008-02-20,0,85,62,1,2014-06-30 00:00:00.000
52,565090917,adventure-works\doris0,Production Technician - WC10,1956-04-04,M,F,2008-03-10,0,86,63,1,2014-06-30 00:00:00.000
53,9659517,adventure-works\diane0,Production Technician - WC10,1956-03-29,M,F,2008-03-28,0,87,63,1,2014-06-30 00:00:00.000
54,109272464,adventure-works\bonnie0,Production Technician - WC10,1986-09-10,M,F,2010-01-01,0,89,64,1,2014-06-30 00:00:00.000
55,233069302,adventure-works\taylor0,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,0,79,59,1,2014-06-30 00:00:00.000
56,652535724,adventure-works\denise0,Production Technician - WC50,1988-07-06,M,F,2009-02-05,0,9,24,1,2014-06-30 00:00:00.000
57,10708100,adventure-works\frank1,Production Technician - WC50,1971-07-24,S,M,2009-02-23,0,10,25,1,2014-06-30 00:00:00.000
58,571658797,adventure-works\kendall0,Production Technician - WC50,1986-05-30,M,M,2008-12-05,0,11,25,1,2014-06-30 00:00:00.000
59,843479922,adventure-works\bob0,Production Technician - WC50,1979-08-16,S,M,2008-12-24,0,12,26,1,2014-06-30 00:00:00.000
60,827686041,adventure-works\pete0,Production Technician - WC50,1977-02-03,S,M,2009-01-11,0,13,26,1,2014-06-30 00:00:00.000
61,92096924,adventure-works\diane2,Production Technician - WC50,1989-08-09,S,F,2009-01-18,0,8,24,1,2014-06-30 00:00:00.000
62,494170342,adventure-works\john0,Production Supervisor - WC60,1956-08-07,M,M,2008-03-17,0,81,60,1,2014-06-30 00:00:00.000
63,414476027,adventure-works\maciej0,Production Technician - WC60,1955-01-30,S,M,2010-01-29,0,30,35,1,2014-06-30 00:00:00.000
64,582347317,adventure-works\michael7,Production Technician - WC60,1973-09-05,S,M,2010-02-23,0,26,33,1,2014-06-30 00:00:00.000
65,8066363,adventure-works\randy0,Production Technician - WC60,1970-04-28,M,M,2010-02-23,0,29,34,1,2014-06-30 00:00:00.000
66,834186596,adventure-works\karan0,Production Technician - WC60,1970-03-07,S,M,2009-12-22,0,28,34,1,2014-06-30 00:00:00.000
67,63179277,adventure-works\jay0,Production Technician - WC60,1976-02-11,S,M,2009-03-05,0,32,36,1,2014-06-30 00:00:00.000
68,537092325,adventure-works\charles0,Production Technician - WC60,1971-09-02,S,M,2009-12-03,0,27,33,1,2014-06-30 00:00:00.000
69,752513276,adventure-works\steve0,Production Technician - WC60,1991-04-06,S,M,2009-02-15,0,31,35,1,2014-06-30 00:00:00.000
70,36151748,adventure-works\david2,Production Technician - WC60,1984-12-29,M,M,2008-12-15,0,33,36,1,2014-06-30 00:00:00.000
71,578935259,adventure-works\michael3,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,0,70,55,1,2014-06-30 00:00:00.000
72,443968955,adventure-works\steven0,Production Technician - WC30,1977-05-14,M,M,2008-12-01,0,41,40,1,2014-06-30 00:00:00.000
73,138280935,adventure-works\carole0,Production Technician - WC30,1983-10-19,M,F,2008-12-19,0,42,41,1,2014-06-30 00:00:00.000
74,420023788,adventure-works\bjorn0,Production Technician - WC30,1989-11-06,S,M,2009-01-07,0,43,41,1,2014-06-30 00:00:00.000
75,363996959,adventure-works\michiko0,Production Technician - WC30,1982-06-27,S,M,2009-01-26,0,44,42,1,2014-06-30 00:00:00.000
76,227319668,adventure-works\carol0,Production Technician - WC30,1988-10-17,M,F,2009-02-12,0,45,42,1,2014-06-30 00:00:00.000
77,301435199,adventure-works\merav0,Production Technician - WC30,1983-05-13,M,F,2009-03-03,0,46,43,1,2014-06-30 00:00:00.000
78,370989364,adventure-works\reuben0,Production Supervisor - WC40,1987-08-27,M,M,2008-12-15,0,72,56,1,2014-06-30 00:00:00.000
79,697712387,adventure-works\eric1,Production Technician - WC40,1966-12-08,M,M,2010-01-24,0,60,50,1,2014-06-30 00:00:00.000
80,943170460,adventure-works\sandeep0,Production Technician - WC40,1970-12-03,S,M,2010-01-17,0,65,52,1,2014-06-30 00:00:00.000
81,413787783,adventure-works\mihail0,Production Technician - WC40,1971-03-09,S,M,2009-12-29,0,64,52,1,2014-06-30 00:00:00.000
82,58791499,adventure-works\jack1,Production Technician - WC40,1973-08-29,S,M,2010-03-03,0,62,51,1,2014-06-30 00:00:00.000
83,988315686,adventure-works\patrick1,Production Technician - WC40,1973-12-23,M,M,2010-02-12,0,61,50,1,2014-06-30 00:00:00.000
84,947029962,adventure-works\frank3,Production Technician - WC40,1952-03-02,M,M,2010-02-05,0,66,53,1,2014-06-30 00:00:00.000
85,1662732,adventure-works\brian2,Production Technician - WC40,1970-12-23,S,M,2009-12-11,0,63,51,1,2014-06-30 00:00:00.000
86,769680433,adventure-works\ryan0,Production Technician - WC40,1972-06-13,M,M,2009-01-05,0,59,49,1,2014-06-30 00:00:00.000
87,7201901,adventure-works\cristian0,Production Supervisor - WC10,1984-04-11,M,M,2008-12-22,0,67,53,1,2014-06-30 00:00:00.000
88,294148271,adventure-works\betsy0,Production Technician - WC10,1966-12-17,S,F,2009-12-18,0,99,69,1,2014-06-30 00:00:00.000
89,90888098,adventure-works\patrick0,Production Technician - WC10,1986-09-10,S,M,2010-02-01,0,96,68,1,2014-06-30 00:00:00.000
90,82638150,adventure-works\danielle0,Production Technician - WC10,1986-09-07,S,F,2010-02-20,0,97,68,1,2014-06-30 00:00:00.000
91,390124815,adventure-works\kimberly0,Production Technician - WC10,1986-09-13,S,F,2010-01-12,0,95,67,1,2014-06-30 00:00:00.000
92,826454897,adventure-works\tom0,Production Technician - WC10,1986-10-01,M,M,2010-03-10,0,98,69,1,2014-06-30 00:00:00.000
93,778552911,adventure-works\kok-ho0,Production Supervisor - WC50,1980-04-28,S,M,2008-12-27,0,78,59,1,2014-06-30 00:00:00.000
94,718299860,adventure-works\russell0,Production Technician - WC50,1972-11-25,M,M,2008-12-12,0,6,23,1,2014-06-30 00:00:00.000
95,674171828,adventure-works\jim0,Production Technician - WC50,1986-09-08,M,M,2008-12-19,0,1,20,1,2014-06-30 00:00:00.000
96,912141525,adventure-works\elizabeth0,Production Technician - WC50,1990-01-25,M,F,2009-03-02,0,5,22,1,2014-06-30 00:00:00.000
97,370581729,adventure-works\mandar0,Production Technician - WC50,1986-03-21,S,M,2009-02-10,0,0,20,1,2014-06-30 00:00:00.000
98,152085091,adventure-works\sameer0,Production Technician - WC50,1978-06-26,M,M,2009-02-11,0,4,22,1,2014-06-30 00:00:00.000
99,431859843,adventure-works\nuan0,Production Technician - WC50,1979-03-29,S,M,2009-01-06,0,2,21,1,2014-06-30 00:00:00.000
100,204035155,adventure-works\lolan0,Production Technician - WC50,1973-01-24,M,M,2009-01-12,0,7,23,1,2014-06-30 00:00:00.000
101,153288994,adventure-works\houman0,Production Technician - WC50,1971-08-30,M,M,2009-01-25,0,3,21,1,2014-06-30 00:00:00.000
102,360868122,adventure-works\zheng0,Production Supervisor - WC10,1983-10-26,S,M,2008-12-03,0,66,53,1,2014-06-30 00:00:00.000
103,455563743,adventure-works\ebru0,Production Technician - WC10,1986-09-22,S,M,2009-12-06,0,93,66,1,2014-06-30 00:00:00.000
104,717889520,adventure-works\mary1,Production Technician - WC10,1986-09-19,M,F,2009-12-25,0,94,67,1,2014-06-30 00:00:00.000
105,801365500,adventure-works\kevin2,Production Technician - WC10,1986-09-19,S,M,2009-12-25,0,90,65,1,2014-06-30 00:00:00.000
106,561196580,adventure-works\john4,Production Technician - WC10,1986-09-28,S,M,2010-02-27,0,92,66,1,2014-06-30 00:00:00.000
107,393421437,adventure-works\christopher0,Production Technician - WC10,1986-10-01,M,M,2010-02-08,0,91,65,1,2014-06-30 00:00:00.000
108,630184120,adventure-works\jinghao0,Production Supervisor - WC50,1989-02-05,S,M,2008-12-08,0,77,58,1,2014-06-30 00:00:00.000
109,113695504,adventure-works\alice0,Production Technician - WC50,1978-01-26,M,F,2008-12-07,0,95,67,1,2014-06-30 00:00:00.000
110,857651804,adventure-works\jun0,Production Technician - WC50,1979-07-06,S,M,2008-12-14,0,90,65,1,2014-06-30 00:00:00.000
111,415823523,adventure-works\suroor0,Production Technician - WC50,1978-02-25,S,M,2008-12-17,0,93,66,1,2014-06-30 00:00:00.000
112,981597097,adventure-works\john1,Production Technician - WC50,1978-05-31,S,M,2009-01-01,0,91,65,1,2014-06-30 00:00:00.000
113,54759846,adventure-works\linda0,Production Technician - WC50,1987-07-17,M,F,2008-12-25,0,96,68,1,2014-06-30 00:00:00.000
114,342607223,adventure-works\mindaugas0,Production Technician - WC50,1978-05-07,M,M,2009-01-13,0,97,68,1,2014-06-30 00:00:00.000
115,563680513,adventure-works\angela0,Production Technician - WC50,1991-05-31,S,F,2009-01-20,0,92,66,1,2014-06-30 00:00:00.000
116,398737566,adventure-works\michael2,Production Technician - WC50,1974-05-03,S,M,2009-01-31,0,98,69,1,2014-06-30 00:00:00.000
117,599942664,adventure-works\chad0,Production Technician - WC50,1990-08-04,M,M,2009-02-18,0,99,69,1,2014-06-30 00:00:00.000
118,222400012,adventure-works\don0,Production Technician - WC50,1971-06-13,M,M,2009-02-13,0,88,64,1,2014-06-30 00:00:00.000
119,334834274,adventure-works\michael4,Production Technician - WC50,1989-06-15,S,M,2009-02-25,0,94,67,1,2014-06-30 00:00:00.000
120,211789056,adventure-works\kitti0,Production Technician - WC50,1987-06-06,S,F,2009-03-04,0,89,64,1,2014-06-30 00:00:00.000
121,521265716,adventure-works\pilar0,Shipping and Receiving Supervisor,1972-09-09,S,M,2009-01-02,1,93,66,1,2014-06-30 00:00:00.000
122,586486572,adventure-works\susan0,Stocker,1978-02-17,S,F,2008-12-07,0,97,68,1,2014-06-30 00:00:00.000
123,337752649,adventure-works\vamsi0,Shipping and Receiving Clerk,1977-03-18,M,M,2008-12-07,0,95,67,1,2014-06-30 00:00:00.000
124,420776180,adventure-works\kim0,Stocker,1984-04-30,S,F,2008-12-26,0,98,69,1,2014-06-30 00:00:00.000
125,584205124,adventure-works\matthias0,Shipping and Receiving Clerk,1973-11-11,M,M,2009-01-20,0,94,67,1,2014-06-30 00:00:00.000
126,652779496,adventure-works\jimmy0,Stocker,1985-05-04,M,M,2009-02-26,0,96,68,1,2014-06-30 00:00:00.000
127,750905084,adventure-works\david4,Production Supervisor - WC40,1983-07-02,S,M,2009-01-03,0,73,56,1,2014-06-30 00:00:00.000
128,384162788,adventure-works\paul0,Production Technician - WC40,1980-11-13,S,M,2008-12-04,0,68,54,1,2014-06-30 00:00:00.000
129,502058701,adventure-works\gary0,Production Technician - WC40,1988-05-16,S,M,2008-12-22,0,69,54,1,2014-06-30 00:00:00.000
130,578953538,adventure-works\rob1,Production Technician - WC40,1973-08-04,S,M,2009-02-13,0,71,55,1,2014-06-30 00:00:00.000
131,273260055,adventure-works\baris0,Production Technician - WC40,1990-10-07,S,M,2009-02-15,0,72,56,1,2014-06-30 00:00:00.000
132,1300049,adventure-works\nicole0,Production Technician - WC40,1986-04-09,M,F,2009-02-22,0,67,53,1,2014-06-30 00:00:00.000
133,830150469,adventure-works\michael1,Production Technician - WC40,1991-01-04,S,M,2009-01-10,0,70,55,1,2014-06-30 00:00:00.000
134,45615666,adventure-works\eric0,Production Supervisor - WC20,1985-01-19,M,M,2009-01-14,0,40,40,1,2014-06-30 00:00:00.000
135,964089218,adventure-works\ivo0,Production Technician - WC20,1982-01-03,M,M,2008-12-04,0,9,24,1,2014-06-30 00:00:00.000
136,701156975,adventure-works\sylvester0,Production Technician - WC20,1970-11-12,M,M,2009-12-11,0,4,22,1,2014-06-30 00:00:00.000
137,63761469,adventure-works\anibal0,Production Technician - WC20,1974-09-05,S,F,2009-02-23,0,8,24,1,2014-06-30 00:00:00.000
138,25011600,adventure-works\samantha0,Production Technician - WC20,1987-11-22,M,F,2009-02-04,0,7,23,1,2014-06-30 00:00:00.000
139,113393530,adventure-works\hung-fu0,Production Technician - WC20,1971-10-23,S,M,2010-01-06,0,0,20,1,2014-06-30 00:00:00.000
140,339233463,adventure-works\prasanna0,Production Technician - WC20,1953-04-30,M,M,2010-01-22,0,5,22,1,2014-06-30 00:00:00.000
141,872923042,adventure-works\min0,Production Technician - WC20,1974-09-10,M,M,2010-01-24,0,1,20,1,2014-06-30 00:00:00.000
142,163347032,adventure-works\olinda0,Production Technician - WC20,1970-04-04,S,F,2010-03-04,0,3,21,1,2014-06-30 00:00:00.000
143,56772045,adventure-works\krishna0,Production Technician - WC20,1971-09-05,S,M,2010-02-13,0,2,21,1,2014-06-30 00:00:00.000
144,886023130,adventure-works\paul1,Production Technician - WC20,1990-11-04,M,M,2009-01-17,0,6,23,1,2014-06-30 00:00:00.000
145,386315192,adventure-works\cynthia0,Production Supervisor - WC30,1981-08-18,S,F,2009-01-27,0,69,54,1,2014-06-30 00:00:00.000
146,160739235,adventure-works\jianshuo0,Production Technician - WC30,1989-06-25,S,M,2008-12-07,0,36,38,1,2014-06-30 00:00:00.000
147,604664374,adventure-works\sandra0,Production Technician - WC30,1975-11-05,M,F,2008-12-26,0,37,38,1,2014-06-30 00:00:00.000
148,733022683,adventure-works\jason0,Production Technician - WC30,1988-12-07,S,M,2009-01-14,0,38,39,1,2014-06-30 00:00:00.000
149,764853868,adventure-works\andy0,Production Technician - WC30,1983-10-20,M,M,2009-01-31,0,39,39,1,2014-06-30 00:00:00.000
150,878395493,adventure-works\michael5,Production Technician - WC30,1982-09-18,M,M,2009-02-26,0,35,37,1,2014-06-30 00:00:00.000
151,993310268,adventure-works\rostislav0,Production Technician - WC30,1977-09-13,M,M,2009-02-19,0,40,40,1,2014-06-30 00:00:00.000
152,319472946,adventure-works\yuhong0,Production Supervisor - WC20,1977-04-06,M,M,2009-02-01,0,41,40,1,2014-06-30 00:00:00.000
153,568596888,adventure-works\hanying0,Production Technician - WC20,1974-10-16,S,M,2008-12-16,0,15,27,1,2014-06-30 00:00:00.000
154,97728960,adventure-works\raymond0,Production Technician - WC20,1967-03-02,M,M,2008-12-23,0,10,25,1,2014-06-30 00:00:00.000
155,212801092,adventure-works\fadi0,Production Technician - WC20,1989-02-15,S,M,2009-01-04,0,16,28,1,2014-06-30 00:00:00.000
156,322160340,adventure-works\lane0,Production Technician - WC20,1974-09-23,M,M,2009-01-11,0,11,25,1,2014-06-30 00:00:00.000
157,812797414,adventure-works\linda1,Production Technician - WC20,1977-10-05,S,F,2009-02-03,0,12,26,1,2014-06-30 00:00:00.000
158,300946911,adventure-works\shelley0,Production Technician - WC20,1986-12-08,S,F,2009-03-07,0,14,27,1,2014-06-30 00:00:00.000
159,404159499,adventure-works\terrence0,Production Technician - WC20,1984-12-08,S,M,2009-02-16,0,13,26,1,2014-06-30 00:00:00.000
160,712885347,adventure-works\jeff0,Production Supervisor - WC45,1977-01-15,M,M,2009-01-21,0,74,57,1,2014-06-30 00:00:00.000
161,275962311,adventure-works\kirk0,Production Technician - WC45,1985-02-06,S,M,2008-12-15,0,74,57,1,2014-06-30 00:00:00.000
162,514829225,adventure-works\laura0,Production Technician - WC45,1980-12-25,S,F,2009-01-03,0,75,57,1,2014-06-30 00:00:00.000
163,377784364,adventure-works\alex0,Production Technician - WC45,1990-04-13,M,M,2009-02-08,0,77,58,1,2014-06-30 00:00:00.000
164,65848458,adventure-works\andrew1,Production Technician - WC45,1988-09-24,S,M,2009-03-06,0,73,56,1,2014-06-30 00:00:00.000
165,539490372,adventure-works\chris0,Production Technician - WC45,1988-12-16,M,M,2009-01-22,0,76,58,1,2014-06-30 00:00:00.000
166,60114406,adventure-works\jack0,Production Supervisor - WC30,1983-06-22,S,M,2009-02-21,0,68,54,1,2014-06-30 00:00:00.000
167,498138869,adventure-works\david1,Production Technician - WC30,1979-11-02,S,M,2008-12-02,0,25,32,1,2014-06-30 00:00:00.000
168,271438431,adventure-works\garrett0,Production Technician - WC30,1984-08-25,S,M,2008-12-07,0,34,37,1,2014-06-30 00:00:00.000
169,351069889,adventure-works\susan1,Production Technician - WC30,1983-04-02,S,F,2008-12-14,0,31,35,1,2014-06-30 00:00:00.000
170,476115505,adventure-works\george0,Production Technician - WC30,1977-04-16,M,M,2008-12-21,0,26,33,1,2014-06-30 00:00:00.000
171,746373306,adventure-works\david3,Production Technician - WC30,1981-08-03,S,M,2009-01-02,0,32,36,1,2014-06-30 00:00:00.000
172,364818297,adventure-works\marc0,Production Technician - WC30,1986-10-24,M,M,2009-01-16,0,22,31,1,2014-06-30 00:00:00.000
173,87268837,adventure-works\eugene0,Production Technician - WC30,1987-07-15,S,M,2009-01-21,0,33,36,1,2014-06-30 00:00:00.000
174,585408256,adventure-works\benjamin0,Production Technician - WC30,1986-01-05,S,M,2009-01-27,0,28,34,1,2014-06-30 00:00:00.000
175,259388196,adventure-works\reed0,Production Technician - WC30,1989-01-08,M,M,2009-02-02,0,23,31,1,2014-06-30 00:00:00.000
176,860123571,adventure-works\david7,Production Technician - WC30,1985-09-23,M,M,2009-02-14,0,29,34,1,2014-06-30 00:00:00.000
177,551346974,adventure-works\russell1,Production Technician - WC30,1982-02-11,M,M,2009-02-21,0,24,32,1,2014-06-30 00:00:00.000
178,568626529,adventure-works\john3,Production Technician - WC30,1982-03-24,S,M,2009-03-03,0,27,33,1,2014-06-30 00:00:00.000
179,587567941,adventure-works\jan0,Production Technician - WC30,1974-11-15,S,M,2009-03-05,0,30,35,1,2014-06-30 00:00:00.000
180,862951447,adventure-works\katie0,Production Supervisor - WC20,1984-11-18,S,F,2009-02-20,0,42,41,1,2014-06-30 00:00:00.000
181,545337468,adventure-works\michael0,Production Technician - WC20,1984-11-17,S,M,2008-12-09,0,20,30,1,2014-06-30 00:00:00.000
182,368920189,adventure-works\nitin0,Production Technician - WC20,1986-12-01,S,M,2008-12-28,0,21,30,1,2014-06-30 00:00:00.000
183,969985265,adventure-works\barbara0,Production Technician - WC20,1979-07-02,M,F,2009-01-22,0,17,28,1,2014-06-30 00:00:00.000
184,305522471,adventure-works\john2,Production Technician - WC20,1986-04-05,M,M,2009-02-09,0,18,29,1,2014-06-30 00:00:00.000
185,621932914,adventure-works\stefen0,Production Technician - WC20,1975-12-21,S,M,2009-02-28,0,19,29,1,2014-06-30 00:00:00.000
186,551834634,adventure-works\shane0,Production Supervisor - WC45,1990-05-24,S,M,2009-02-08,0,75,57,1,2014-06-30 00:00:00.000
187,713403643,adventure-works\yvonne0,Production Technician - WC45,1989-04-15,M,F,2008-12-09,0,79,59,1,2014-06-30 00:00:00.000
188,435234965,adventure-works\douglas0,Production Technician - WC45,1985-11-24,M,M,2008-12-27,0,80,60,1,2014-06-30 00:00:00.000
189,187369436,adventure-works\janeth0,Production Technician - WC45,1972-07-24,S,F,2009-01-15,0,81,60,1,2014-06-30 00:00:00.000
190,456839592,adventure-works\robert0,Production Technician - WC45,1985-02-28,S,M,2009-02-02,0,82,61,1,2014-06-30 00:00:00.000
191,399658727,adventure-works\lionel0,Production Technician - WC45,1988-03-14,S,M,2009-02-26,0,78,59,1,2014-06-30 00:00:00.000
192,634335025,adventure-works\brenda0,Production Supervisor - WC40,1983-02-28,M,F,2009-03-05,0,71,55,1,2014-06-30 00:00:00.000
193,761597760,adventure-works\alejandro0,Production Technician - WC40,1988-12-05,S,M,2008-12-06,0,52,46,1,2014-06-30 00:00:00.000
194,295971920,adventure-works\fred0,Production Technician - WC40,1989-06-25,S,M,2008-12-12,0,47,43,1,2014-06-30 00:00:00.000
195,918737118,adventure-works\kevin1,Production Technician - WC40,1985-12-25,S,M,2008-12-17,0,58,49,1,2014-06-30 00:00:00.000
196,370487086,adventure-works\shammi0,Production Technician - WC40,1980-10-04,M,M,2008-12-24,0,53,46,1,2014-06-30 00:00:00.000
197,632092621,adventure-works\rajesh0,Production Technician - WC40,1977-10-04,M,M,2008-12-31,0,48,44,1,2014-06-30 00:00:00.000
198,19312190,adventure-works\lorraine0,Production Technician - WC40,1988-11-26,M,F,2009-01-04,0,49,44,1,2014-06-30 00:00:00.000
199,992874797,adventure-works\paula1,Production Technician - WC40,1987-02-10,M,F,2009-01-12,0,54,47,1,2014-06-30 00:00:00.000
200,749211824,adventure-works\frank0,Production Technician - WC40,1987-09-06,M,M,2009-01-17,0,56,48,1,2014-06-30 00:00:00.000
201,746201340,adventure-works\brian0,Production Technician - WC40,1977-02-10,S,M,2009-01-29,0,55,47,1,2014-06-30 00:00:00.000
202,436757988,adventure-works\tawana0,Production Technician - WC40,1989-11-10,S,M,2009-02-05,0,50,45,1,2014-06-30 00:00:00.000
203,693168613,adventure-works\ken1,Production Technician - WC40,1981-05-28,M,M,2009-02-24,0,51,45,1,2014-06-30 00:00:00.000
204,440379437,adventure-works\gabe0,Production Technician - WC40,1988-05-10,M,M,2009-03-08,0,57,48,1,2014-06-30 00:00:00.000
