EmployeeID,FirstName,MiddleName,LastName,Shift,Department,GroupName,EffectiveDate
243,Candy,L,Spoon,Day,Finance,Executive General and Administration,7/6/2011
74,Bjorn,M,Rettig,Night,Production,Manufacturing,7/7/2011
224,William,S,Vong,Day,Production,Manufacturing,7/7/2011
208,Scott,R,Gode,Night,Production,Manufacturing,7/8/2011
133,Michael,L,Rothkugel,Night,Production,Manufacturing,7/10/2011
60,Pete,C,Male,Night,Production,Manufacturing,7/11/2011
156,Lane,M,Sacksteder,Evening,Production,Manufacturing,7/11/2011
269,Dan,K,Bacon,Day,Information Services,Executive General and Administration,7/11/2011
23,Mary,E,Gibson,Day,Marketing,Sales and Marketing,7/12/2011
100,Lolan,B,Song,Evening,Production,Manufacturing,7/12/2011
199,Paula,R,Nartker,Day,Production,Manufacturing,7/12/2011
262,David,M,Barber,Day,Finance,Executive General and Administration,7/12/2011
114,Mindaugas,J,Krapauskas,Day,Production,Manufacturing,7/13/2011
1,Ken,J,Sánchez,Day,Executive,Executive General and Administration,7/14/2011
134,Eric,NULL,Gubbels,Day,Production,Manufacturing,7/14/2011
148,Jason,M,Watters,Evening,Production,Manufacturing,7/14/2011
189,Janeth,M,Esteves,Evening,Production,Manufacturing,7/15/2011
215,Mark,L,Harrington,Day,Quality Assurance,Quality Assurance,7/15/2011
9,Gigi,N,Matthew,Day,Research and Development,Research and Development,7/16/2011
172,Marc,J,Ingle,Day,Production,Manufacturing,7/16/2011
144,Paul,R,Singh,Day,Production,Manufacturing,7/17/2011
200,Frank,T,Lee,Day,Production,Manufacturing,7/17/2011
270,François,P,Ajenstat,Day,Information Services,Executive General and Administration,7/17/2011
24,Jill,A,Williams,Day,Marketing,Sales and Marketing,7/18/2011
61,Diane,H,Tibbott,Night,Production,Manufacturing,7/18/2011
115,Angela,W,Barbariol,Day,Production,Manufacturing,7/20/2011
125,Matthias,T,Berndt,Day,Shipping and Receiving,Inventory Management,7/20/2011
41,Bryan,NULL,Baker,Night,Production,Manufacturing,7/21/2011
160,Jeff,V,Hay,Day,Production,Manufacturing,7/21/2011
173,Eugene,R,Zabokritski,Day,Production,Manufacturing,7/21/2011
165,Chris,T,Preston,Day,Production,Manufacturing,7/22/2011
183,Barbara,S,Decker,Night,Production,Manufacturing,7/22/2011
219,Sean,N,Chai,Day,Document Control,Quality Assurance,7/22/2011
271,Dan,B,Wilson,Day,Information Services,Executive General and Administration,7/22/2011
29,Mark,K,McArthur,Day,Production,Manufacturing,7/23/2011
244,Bryan,A,Walton,Day,Finance,Executive General and Administration,7/24/2011
101,Houman,N,Pournasseh,Evening,Production,Manufacturing,7/25/2011
75,Michiko,F,Osada,Night,Production,Manufacturing,7/26/2011
223,Sairaj,L,Uddin,Day,Production Control,Manufacturing,7/26/2011
145,Cynthia,S,Randall,Evening,Production,Manufacturing,7/27/2011
174,Benjamin,R,Martin,Day,Production,Manufacturing,7/27/2011
209,Kathie,E,Flood,Night,Production,Manufacturing,7/27/2011
30,Britta,L,Simon,Day,Production,Manufacturing,7/29/2011
201,Brian,T,Lloyd,Day,Production,Manufacturing,7/29/2011
241,David,J,Liu,Day,Finance,Executive General and Administration,7/30/2011
116,Michael,W,Patten,Day,Production,Manufacturing,7/31/2011
149,Andy,M,Ruth,Evening,Production,Manufacturing,7/31/2011
234,Laura,F,Norman,Day,Finance,Executive General and Administration,7/31/2011
152,Yuhong,L,Li,Evening,Production,Manufacturing,8/1/2011
175,Reed,T,Koch,Day,Production,Manufacturing,8/2/2011
190,Robert,J,Rounthwaite,Evening,Production,Manufacturing,8/2/2011
214,Andreas,T,Berglund,Evening,Quality Assurance,Quality Assurance,8/2/2011
25,James,R,Hamilton,Day,Production,Manufacturing,8/3/2011
157,Linda,A,Randall,Evening,Production,Manufacturing,8/3/2011
268,Ramesh,V,Meyyappan,Day,Information Services,Executive General and Administration,8/3/2011
138,Samantha,H,Smith,Day,Production,Manufacturing,8/4/2011
264,Stephanie,A,Conroy,Day,Information Services,Executive General and Administration,8/4/2011
56,Denise,H,Smith,Night,Production,Manufacturing,8/5/2011
202,Tawana,G,Nusbaum,Day,Production,Manufacturing,8/5/2011
237,Hao,O,Chen,Day,Human Resources,Executive General and Administration,8/6/2011
7,Dylan,A,Miller,Day,Research and Development,Research and Development,8/8/2011
35,Brandon,G,Heidepriem,Day,Production,Manufacturing,8/8/2011
46,Eugene,O,Kogan,Night,Production,Manufacturing,8/8/2011
163,Alex,M,Nayberg,Day,Production,Manufacturing,8/8/2011
186,Shane,S,Kim,Evening,Production,Manufacturing,8/8/2011
184,John,Y,Chen,Night,Production,Manufacturing,8/9/2011
220,Karen,R,Berge,Day,Document Control,Quality Assurance,8/9/2011
36,Jose,R,Lugo,Day,Production,Manufacturing,8/10/2011
97,Mandar,H,Samant,Evening,Production,Manufacturing,8/10/2011
251,Mikael,Q,Sandberg,Day,Purchasing,Inventory Management,8/10/2011
98,Sameer,A,Tejani,Evening,Production,Manufacturing,8/11/2011
246,Dragan,K,Tomic,Day,Finance,Executive General and Administration,8/11/2011
76,Carol,M,Philips,Night,Production,Manufacturing,8/12/2011
118,Don,L,Hall,Day,Production,Manufacturing,8/13/2011
130,Rob,T,Caron,Night,Production,Manufacturing,8/13/2011
225,Alan,J,Brewer,Evening,Production Control,Manufacturing,8/13/2011
176,David,Oliver,Lawrence,Day,Production,Manufacturing,8/14/2011
69,Steve,F,Masters,Evening,Production,Manufacturing,8/15/2011
71,Michael,Sean,Ray,Night,Production,Manufacturing,8/15/2011
131,Baris,F,Cetinok,Night,Production,Manufacturing,8/15/2011
34,Suchitra,O,Mohan,Day,Production,Manufacturing,8/16/2011
159,Terrence,W,Earls,Evening,Production,Manufacturing,8/16/2011
267,Karen,A,Berg,Day,Information Services,Executive General and Administration,8/16/2011
117,Chad,W,Niswonger,Day,Production,Manufacturing,8/18/2011
245,Barbara,C,Moreland,Day,Finance,Executive General and Administration,8/18/2011
151,Rostislav,E,Shabalin,Evening,Production,Manufacturing,8/19/2011
180,Katie,L,McAskill-White,Night,Production,Manufacturing,8/20/2011
210,Belinda,M,Newman,Night,Production,Manufacturing,8/20/2011
166,Jack,S,Richins,Day,Production,Manufacturing,8/21/2011
177,Russell,M,King,Day,Production,Manufacturing,8/21/2011
47,Andrew,R,Hill,Day,Production,Manufacturing,8/22/2011
132,Nicole,B,Holliday,Night,Production,Manufacturing,8/22/2011
57,Frank,T,Miller,Night,Production,Manufacturing,8/23/2011
137,Anibal,T,Sousa,Day,Production,Manufacturing,8/23/2011
266,Peter,I,Connelly,Day,Information Services,Executive General and Administration,8/23/2011
203,Ken,L,Myer,Day,Production,Manufacturing,8/24/2011
119,Michael,T,Entin,Day,Production,Manufacturing,8/25/2011
236,Grant,N,Culbertson,Day,Human Resources,Executive General and Administration,8/25/2011
45,Thomas,R,Michaels,Night,Production,Manufacturing,8/26/2011
126,Jimmy,T,Bischoff,Day,Shipping and Receiving,Inventory Management,8/26/2011
150,Michael,T,Vanderhyde,Evening,Production,Manufacturing,8/26/2011
191,Lionel,C,Penuchot,Evening,Production,Manufacturing,8/26/2011
205,Lori,A,Kane,Night,Production,Manufacturing,8/26/2011
185,Stefen,A,Hesse,Night,Production,Manufacturing,8/28/2011
211,Hazem,E,Abolrous,Day,Quality Assurance,Quality Assurance,8/28/2011
252,Arvind,B,Rao,Day,Purchasing,Inventory Management,8/28/2011
247,Janet,L,Sheperdigian,Day,Finance,Executive General and Administration,9/1/2011
21,Terry,J,Eminhizer,Day,Marketing,Sales and Marketing,9/2/2011
96,Elizabeth,I,Keyser,Evening,Production,Manufacturing,9/2/2011
77,Merav,A,Netz,Night,Production,Manufacturing,9/3/2011
178,John,N,Frum,Day,Production,Manufacturing,9/3/2011
226,Brian,P,LaMee,Night,Production Control,Manufacturing,9/3/2011
120,Kitti,H,Lertpiriyasuwat,Day,Production,Manufacturing,9/4/2011
67,Jay,G,Adams,Evening,Production,Manufacturing,9/5/2011
179,Jan,S,Miksovsky,Day,Production,Manufacturing,9/5/2011
192,Brenda,M,Diaz,Day,Production,Manufacturing,9/5/2011
164,Andrew,M,Cencini,Day,Production,Manufacturing,9/6/2011
221,Chris,K,Norred,Evening,Document Control,Quality Assurance,9/6/2011
37,Chris,O,Okelberry,Day,Production,Manufacturing,9/7/2011
158,Shelley,N,Dyck,Evening,Production,Manufacturing,9/7/2011
204,Gabe,B,Mares,Day,Production,Manufacturing,9/8/2011
248,Mike,K,Seamans,Day,Finance,Executive General and Administration,9/8/2011
10,Michael,NULL,Raheem,Day,Research and Development,Research and Development,11/3/2011
16,David,M,Bradley,Day,Marketing,Sales and Marketing,1/15/2012
227,Gary,E.,Altman,Day,Facilities and Maintenance,Executive General and Administration,6/2/2012
68,Charles,B,Fitzgerald,Evening,Production,Manufacturing,6/3/2012
103,Ebru,N,Ersan,Evening,Production,Manufacturing,6/6/2012
85,Brian,Richard,Goldstein,Evening,Production,Manufacturing,6/11/2012
136,Sylvester,A,Valdez,Day,Production,Manufacturing,6/11/2012
253,Linda,P,Meisner,Day,Purchasing,Inventory Management,6/17/2012
88,Betsy,A,Stadick,Night,Production,Manufacturing,6/18/2012
233,Magnus,E,Hedlund,Day,Facilities and Maintenance,Executive General and Administration,6/21/2012
66,Karan,R,Khanna,Evening,Production,Manufacturing,6/22/2012
104,Mary,R,Baker,Evening,Production,Manufacturing,6/25/2012
105,Kevin,M,Homer,Evening,Production,Manufacturing,6/25/2012
81,Mihail,U,Frintu,Evening,Production,Manufacturing,6/29/2012
54,Bonnie,N,Kearney,Day,Production,Manufacturing,7/1/2012
254,Fukiko,J,Ogisu,Day,Purchasing,Inventory Management,7/4/2012
139,Hung-Fu,T,Ting,Day,Production,Manufacturing,7/6/2012
255,Gordon,L,Hee,Day,Purchasing,Inventory Management,7/11/2012
91,Kimberly,B,Zimmerman,Night,Production,Manufacturing,7/12/2012
38,Kim,B,Abercrombie,Day,Production,Manufacturing,7/16/2012
80,Sandeep,P,Kaliyath,Evening,Production,Manufacturing,7/17/2012
140,Prasanna,E,Samarawickrama,Day,Production,Manufacturing,7/22/2012
256,Frank,S,Pellow,Day,Purchasing,Inventory Management,7/23/2012
79,Eric,L,Brown,Evening,Production,Manufacturing,7/24/2012
141,Min,G,Su,Day,Production,Manufacturing,7/24/2012
232,Pat,H,Coleman,Evening,Facilities and Maintenance,Executive General and Administration,7/27/2012
257,Eric,S,Kurjan,Day,Purchasing,Inventory Management,7/27/2012
63,Maciej,W,Dusza,Evening,Production,Manufacturing,7/29/2012
258,Erin,M,Hagens,Day,Purchasing,Inventory Management,7/31/2012
89,Patrick,C,Wedge,Night,Production,Manufacturing,8/1/2012
39,Ed,R,Dudenhoefer,Day,Production,Manufacturing,8/5/2012
84,Frank,R,Martinez,Evening,Production,Manufacturing,8/5/2012
107,Christopher,E,Hill,Evening,Production,Manufacturing,8/8/2012
83,Patrick,M,Cook,Evening,Production,Manufacturing,8/12/2012
143,Krishna,NULL,Sunkammurali,Day,Production,Manufacturing,8/13/2012
13,Janice,M,Galvin,Day,Document Control,Quality Assurance,8/14/2012
229,Lori,K,Penor,Night,Facilities and Maintenance,Executive General and Administration,8/16/2012
90,Danielle,C,Tiedt,Night,Production,Manufacturing,8/20/2012
64,Michael,J,Zwilling,Evening,Production,Manufacturing,8/23/2012
65,Randy,T,Reeves,Evening,Production,Manufacturing,8/23/2012
213,Sootha,T,Charncherngkha,Night,Quality Assurance,Quality Assurance,8/23/2012
106,John,T,Kane,Evening,Production,Manufacturing,8/27/2012
82,Jack,T,Creasey,Evening,Production,Manufacturing,9/3/2012
142,Olinda,C,Turner,Day,Production,Manufacturing,9/4/2012
230,Stuart,J,Macrae,Evening,Facilities and Maintenance,Executive General and Administration,9/5/2012
231,Jo,L,Berry,Night,Facilities and Maintenance,Executive General and Administration,9/7/2012
259,Ben,T,Miller,Day,Purchasing,Inventory Management,9/9/2012
92,Tom,M,Vande Velde,Night,Production,Manufacturing,9/10/2012
4,Rob,NULL,Walters,Day,Tool Design,Research and Development,11/30/2012
40,JoLynn,M,Dobney,Evening,Production,Manufacturing,1/11/2013
11,Ovidiu,V,Cracium,Day,Tool Design,Research and Development,6/5/2013
260,Annette,L,Hill,Day,Purchasing,Inventory Management,6/6/2013
13,Janice,M,Galvin,Day,Tool Design,Research and Development,6/23/2013
261,Reinout,N,Hillmann,Day,Purchasing,Inventory Management,6/25/2013
14,Michael,I,Sullivan,Day,Engineering,Research and Development,6/30/2013
274,Stephen,Y,Jiang,Day,Sales,Sales and Marketing,7/4/2013
20,Wanida,M,Benshoof,Day,Marketing,Sales and Marketing,7/7/2013
15,Sharon,B,Salavaria,Day,Engineering,Research and Development,7/18/2013
18,John,L,Wood,Day,Marketing,Sales and Marketing,8/7/2013
19,Mary,A,Dempsey,Day,Marketing,Sales and Marketing,8/14/2013
273,Brian,S,Welcker,Day,Sales,Sales and Marketing,8/15/2013
250,Sheela,H,Word,Day,Marketing,Sales and Marketing,8/25/2013
275,Michael,G,Blythe,Day,Sales,Sales and Marketing,11/30/2013
276,Linda,C,Mitchell,Day,Sales,Sales and Marketing,11/30/2013
277,Jillian,NULL,Carson,Day,Sales,Sales and Marketing,11/30/2013
278,Garrett,R,Vargas,Day,Sales,Sales and Marketing,11/30/2013
279,Tsvi,Michael,Reiter,Day,Sales,Sales and Marketing,11/30/2013
280,Pamela,O,Ansman-Wolfe,Day,Sales,Sales and Marketing,11/30/2013
281,Shu,K,Ito,Day,Sales,Sales and Marketing,11/30/2013
282,José,Edvaldo,Saraiva,Day,Sales,Sales and Marketing,11/30/2013
283,David,R,Campbell,Day,Sales,Sales and Marketing,11/30/2013
250,Sheela,H,Word,Day,Quality Assurance,Quality Assurance,1/31/2014
224,William,S,Vong,Day,Production Control,Manufacturing,3/1/2014
40,JoLynn,M,Dobney,Day,Production,Manufacturing,10/10/2014
287,Amy,E,Alberts,Day,Sales,Sales and Marketing,10/16/2014
289,Jae,B,Pak,Day,Sales,Sales and Marketing,11/30/2014
290,Ranjit,R,Varkey Chudukatil,Day,Sales,Sales and Marketing,11/30/2014
40,JoLynn,M,Dobney,Day,Document Control,Quality Assurance,1/10/2015
250,Sheela,H,Word,Day,Purchasing,Inventory Management,1/15/2015
284,Tete,A,Mensa-Annan,Day,Sales,Sales and Marketing,3/30/2015
40,JoLynn,M,Dobney,Night,Quality Assurance,Quality Assurance,7/7/2015
13,Janice,M,Galvin,Evening,Quality Assurance,Quality Assurance,9/10/2015
285,Syed,E,Abbas,Day,Sales,Sales and Marketing,9/14/2015
286,Lynn,N,Tsoflias,Day,Sales,Sales and Marketing,11/30/2015
288,Rachel,B,Valdez,Day,Sales,Sales and Marketing,11/30/2015
234,Laura,F,Norman,Day,Executive,Executive General and Administration,5/14/2016
